,Name,catagory,description,Veg_Non,Nutrient,Disease,Diet,Price
326,whole wheat cake,cake,"ओवन तापमान , गेंहू का आटा, गुड़ की शक्कर, बेकिंग पाउडर, तेल, अंडे, पानी, बादाम एसेंस, अखरोट",veg,potassium, kidney_disease, dash_diet high_fiber_diet ketogenic_diet low_sodium_diet low_fat_diet vegan_diet high_protien_diet,520
327,plum cake,cake,"ओवन तापमान:, बटर, चीनी, अंडे, बादाम, वनीला एसेंस, मिक्स ड्राई फ्रूट , आटा ,",veg,potassium, scurvy, high_fiber_diet low_fat_diet ketogenic_diet,630
328,double chocolate easter cookies,cookie,"मक्खन, ब्राउन शुगर, कैस्टर शुगर, वनिला एसेंस, डार्क चॉकलेट, रिफाइंड फ्लॉर, कोको पाउडर, बेकिंग सोडा, नमक, दूध, कैडबरी जेम्स",veg,magnesium, scurvy heart_disease hypertension diabeties, high_fiber_diet ketogenic_diet high_protien_diet,370
329,chocolate appo,chocolate,"rice, coconut, baking powder, vanilla extract, cinnamon powder, brown sugar, unsweetened cocoa powder, salt, chocolate chips, butter",veg,magnesium, heart_disease hypertension, high_fiber_diet ketogenic_diet high_protien_diet,560
330,red rice vermicelli kheer,kheer,"red rice vermicelli / broken sooji / semolina vermicelli, butter, almonds, whole milk, cardamom powder, saffron strands / thread, sugar",veg,carbohydrates, scurvy obesity cancer diabeties kidney_disease anemia pregnancy, dash_diet ketogenic_diet alkaline_diet vegan_diet high_protien_diet,465
331,almond and raw banana galawat,banana,"almond slivers, raw banana (boiled), almond paste, cooking cream, refined oil, mace powder, cardamom powder , ginger garlic paste, garam masala powder, red chilli powder, salt, tempura batter",veg,selenium, heart_disease scurvy cancer diabeties hypertension kidney_disease anemia, high_fiber_diet ketogenic_diet alkaline_diet low_fat_diet gluten_free_diet vegan_diet high_protien_diet,300
332,grilled almond barfi (sugar free),barfi,"khoya, sweetener (optional), almonds (crushed)",veg,calcium, goitre hypertension, ketogenic_diet low_fat_diet gluten_free_diet vegan_diet high_protien_diet,660
333,chocolate kaju katli,kaju,"cashew nuts, sugar, water, milk chocolate or dark chocolate",veg,vitamin_d, heart_disease hypertension, high_fiber_diet ketogenic_diet,390
334,mix fruit laccha rabri tortilla crunch,rabri,"milk, sugar, cardamom powder, saffron, almonds and pistachios, grapes, apple, kiwi, orange, pomegranate, mint leaves, tortilla sheet, oil",veg,calcium, heart_disease eye_disease scurvy obesity diabeties hypertension pregnancy, high_fiber_diet ketogenic_diet alkaline_diet hormone_diet low_sodium_diet low_fat_diet vegan_diet high_protien_diet,490
335,apple rabdi,rabdi,"apples, milk, sugar, green cardamoms, almonds (blanched), pistachios (blanched)",veg,calcium, obesity diabeties, low_fat_diet vegan_diet ketogenic_diet high_protien_diet,550
336,baked namak para,baked,"whole wheat flour (atta), refined flour (maida), baking powder, ghee, salt, carom seeds (ajwain)",veg,magnesium, goitre, low_sodium_diet high_fiber_diet low_fat_diet high_protien_diet,600
337,dates and nuts ladoo,ladoo,"dates (pitted), mixed nuts (almonds, cashews, walnuts, pistachios, peanuts), dessicated coconut (optional)",veg,vitamin_e, heart_disease obesity cancer diabeties kidney_disease anemia, dash_diet high_fiber_diet ketogenic_diet alkaline_diet low_sodium_diet gluten_free_diet vegan_diet omni_diet,535
338,mongolian lamb balls,lamb,"lamb (minced), couscous, scallion, garlic, egg, parsley, olive oil, mint, ao nori herb, salt, five spice, cinnamon powder",non-veg,iron, goitre, high_fiber_diet low_fat_diet vegan_diet,385
339,baked almond kofta,kofta,"potato (boiled), nutmeg, milk, almonds (crushed), green onions, refined flour, egg, salt, pepper, eggs, refined flour (for rolling), dried breadcrumbs (for rolling)",veg,calcium, goitre hypertension, high_fiber_diet ketogenic_diet low_sodium_diet low_fat_diet gluten_free_diet vegan_diet high_protien_diet,395
340,almond and amaranth ladoo,ladoo,"popped amaranth seeds, jaggery, almonds (slivered, unpeeled)",veg,calcium, hypertension, ketogenic_diet low_fat_diet gluten_free_diet vegan_diet high_protien_diet,250
341,holi special malai kofta,kofta,"potatoes, paneer (cottage cheese), maida, coriander leaves (chopped), onion, ginger-garlic paste, tomatoes, malai or cream, raisins and cashew nuts, cashew nuts paste, haldi, red chilli powder, kitchen king masala, kasuri methi (dry fenugreek), salt, sugar",veg,phosphorus, kidney_disease, high_fiber_diet low_fat_diet vegan_diet,680
342,homemade gulab jamun,gulab,"sugar, water, milk, cardamom seeds, saffron, cardamom powder, khoya, baking soda, maida, milk",veg,vitamin_d, goitre, low_sodium_diet,650
343,spicy chicken curry,curry,"oil, ghee, onion paste, garlic paste, ginger paste, turmeric powder, salt, tomato puree, coriander powder, red chilli powder, cumin powder, garam masala, chicken leg pieces, coriander leaves, water",non-veg,iron, goitre rickets obesity kidney_disease anemia pregnancy, high_fiber_diet hormone_diet low_fat_diet low_carb_diet type_a_diet vegan_diet high_protien_diet,640
344,red rice vermicelli kheer,kheer,"रेड राइस वर्मिसेली/ ब्रोकन सूजी/ सूजी वर्मिसेली, मक्खन, बादाम, पूरा दूध, इलाइची पाउडर, केसर थ्रेड  चीनी, चीनी",veg,carbohydrates, scurvy obesity cancer diabeties kidney_disease anemia pregnancy, dash_diet ketogenic_diet alkaline_diet vegan_diet high_protien_diet,240
345,chicken shami kebab,kebab,"चना दाल, तेल, जीरा, लौंग, काली मिर्च, दालचीनी, साबुत धनिया, अजवाइन, साबुत लाल मिर्च, चिली फलेक्स, बोनलेस चिकन, नमक, पानी, अदरक, हरी मिर्च, लहसुन, हरा धनिया, पुदीने के पत्ते, अंडे",non-veg,phosphorus, rickets anemia kidney_disease goitre pregnancy, high_fiber_diet hormone_diet low_fat_diet low_carb_diet type_a_diet vegan_diet high_protien_diet,270
346,lamb rogan josh,lamb,"lamb chops or stewing lamb, vegetable oil, cassia bark or cinnamon stick, bay leaves, green cardamoms, onions, garlic cloves, butter, turmeric, chilli powder, ground cumin, ground coriander, tomato puree, salt, garam masala, lemon juice",non-veg,iron, goitre, high_fiber_diet low_fat_diet vegan_diet,295
347,fish curry,curry,"fresh sole fish, black pepper powder, lemon (juiced), onion, coriander seeds, black pepper, raw rice, garlic cloves, coconut, coriander leaves, ginger (large), cinnamon powder, clove powder, ground nut oil, tamarind paste, cooking oil, salt,",non-veg,vitamin_a, goitre heart_disease rickets obesity cancer diabeties hypertension kidney_disease anemia pregnancy, dash_diet high_fiber_diet ketogenic_diet alkaline_diet low_fat_diet low_carb_diet vegan_diet high_protien_diet,225
348,rice kheer,kheer,"milk, rice (washed), sugar, raisins, green cardamoms, almonds (shredded)",veg,calcium, anemia obesity diabeties, dash_diet ketogenic_diet low_fat_diet vegan_diet high_protien_diet,660
349,slow cooked spiced sangria,sangria,"red wine (merlot / zinfandel), apple cider, honey, orange (zested and juiced), cloves (whole), green cardamom, cinnamon sticks, anise (whole), brandy",veg,iron, goitre heart_disease scurvy obesity diabeties kidney_disease anemia pregnancy, high_fiber_diet low_fat_diet vegan_diet ketogenic_diet,425
350,"amaranthus granola with lemon yogurt, berries and marigold",yogurt,"popped amaranthus (cholai), oats, almonds, cinnamon powder, sunflower seeds, sesame seeds, honey, brown sugar, salt, olive oil, lemon rind, plain yogurt (whipped with lemon rind), blueberries",veg,calcium, heart_disease scurvy obesity hypertension kidney_disease goitre pregnancy, dash_diet ketogenic_diet low_sodium_diet low_fat_diet vegan_diet omni_diet Mediterranean_diet high_protien_diet,670
351,chocolate fudge cookies,cookie,"dark chocolate coverture, butter, sugar, eggs, flour, baking powder, salt, cocoa powder, vanilla essence",veg,magnesium, heart_disease hypertension, high_fiber_diet ketogenic_diet high_protien_diet,625
352,assorted rice kheer sushi,kheer,"basmati rice, milk, sugar, pistachio, almonds, green cardamoms(powdered), saffron, rose water, rose petals (dried), dark chocolate",veg,magnesium, anemia obesity diabeties, dash_diet high_fiber_diet ketogenic_diet alkaline_diet vegan_diet high_protien_diet,240
353,jalebi with fennel yogurt pudding,pudding,"all purpose flour, yogurt, oil, sugar, water, saffron, green cardamom, yogurt (strained), milk (warm), sugar, nutmeg, cardamom powder",veg,vitamin_d, obesity diabeties hypertension goitre pregnancy, dash_diet ketogenic_diet low_fat_diet gluten_free_diet high_protien_diet,575
354,eggless vanilla cake,cake,"maida, baking powder, castor sugar, butter, milk, vanilla essence, vinegar",veg,potassium, goitre, high_fiber_diet low_fat_diet ketogenic_diet,345
355,sweet potato pie,pie,"yams (red skinned), condensed milk, sugar, egg , cinnamon , marshmallows ,",veg,vitamin_a, scurvy hypertension kidney_disease goitre pregnancy, dash_diet high_fiber_diet paleo_diet alkaline_diet low_sodium_diet low_fat_diet gluten_free_diet Mediterranean_diet high_protien_diet,455
356,broccoli souffle,broccoli,"broccoli, butter, extra virgin olive oil, all-purpose flour, low fat milk, salt, black pepper, cheddar cheese, eggs (separated), egg whites, cream of tarter",veg,vitamin_c, scurvy pregnancy diabeties, dash_diet ketogenic_diet alkaline_diet vegan_diet high_protien_diet,360
357,chocolate chip cheesecake,chocolate,"butter biscuits (broken into pieces), butter (softened), cream cheese (softened), sugar, egg, rose essence or vanilla essence, chocolate chips",veg,calcium, heart_disease hypertension, high_fiber_diet ketogenic_diet low_fat_diet vegan_diet high_protien_diet,585
358,eggless coffee cupcakes,coffee,"maida/ flour, baking powder, sugar, cocoa powder, vanilla essence, butter (softened, salted. in case you are using unsalted butter, add 1/4 tsp salt), milk (to make the batter smooth. adjust the milk quantity according to your batter's smoothness), coffee powder + 1 tsp water, to make a paste (you can increase or decrease according to your coffee tolerance)",veg,vitamin_d, anemia pregnancy, ketogenic_diet hormone_diet,300
359,plum cake,cake,"oven temp: 150 c-300 f, butter, sugar, eggs, almonds, vanilla essence, mixed fruits (sultanas, raisins, candied peels and cherries), refined flour,",veg,potassium, scurvy, high_fiber_diet low_fat_diet ketogenic_diet,215
360,christmas dry fruit cake,cake,"butter (at room temperature), dark brown sugar, eggs, flour, salt, all spice powder, cinnamon, nutmeg, currants; golden raisins; dark raisins (each), soft dried figs, dates (pitted), prunes (stoned dried), apricots (dried), almonds (chopped), brandy, instant espresso (mixed with 1 tbsp water)",veg,calcium, heart_disease eye_disease scurvy obesity diabeties hypertension pregnancy, high_fiber_diet ketogenic_diet alkaline_diet low_fat_diet vegan_diet high_protien_diet,355
361,microwave chicken steak,chicken,"chicken breasts (boneless), eggs (slightly whisked), ginger paste, garlic paste, onions, coriander leaves, green chillies, black pepper powder, flour, vinegar, salt, oil",non-veg,vitamin_a, rickets anemia kidney_disease goitre pregnancy, hormone_diet low_fat_diet low_carb_diet type_a_diet vegan_diet high_protien_diet,645
362,cheese and ham roll,cheese,"hung curd, butter, cream, ground pimento, lemon juice, vodka, salt and pepper, asparagus spears(cooked), ham, pineapple slices",veg,calcium, obesity eye_disease, dash_diet ketogenic_diet alkaline_diet low_fat_diet vegan_diet high_protien_diet,670
363,vegetable manchurian,tomato,"mixed vegetables - chopped fine or grated, eggs (slightly beaten), refined flour, garlic paste, ginger paste, water, oil , garlic , onions , capsicum, cornflour (blended with water), vinegar, salt, soya sauce, tomato puree, celery, ajinomoto (optional), water",veg,vitamin_a, kidney_disease scurvy obesity heart_disease, high_fiber_diet low_sodium_diet low_fat_diet gluten_free_diet vegan_diet high_protien_diet,465
364,jerk chicken,chicken,"chicken legs, lime (halved), jerk seasoning powder (bottled), jerk seasoning paste (bottled), olive oil",non-veg,iron, rickets anemia kidney_disease goitre pregnancy, high_fiber_diet hormone_diet low_fat_diet low_carb_diet type_a_diet vegan_diet high_protien_diet,670
365,lemon poppy seed cake hindi,cake,"आटा, बेकिंग पाउडर, नमक, कैस्टर शुगर, बेकिंग सोडा, अंडे, मक्खन, वनिला एसेंस, नींबू का रस, खसखस, नींबू का छिलका, लेमन सिरप, विप्ड क्रीम, फ्रेश बेरी",veg,potassium, scurvy, high_fiber_diet low_fat_diet ketogenic_diet high_protien_diet,490
